invoice_id,branch,city,category,unit_price,quantity,date,time,payment_method,rating,profit_margin,Total_Amount
87,XF042,Bryan,Fashion accessories,76.52,5.0,25-03-2019,10:23:00,Cash,9.9,0.48,382.59999999999997
88,XF046,Temple,Food and beverages,49.38,7.0,27-03-2019,20:35:00,Credit card,7.3,0.48,345.66
89,XF011,Lubbock,Sports and travel,42.47,1.0,02-01-2019,16:57:00,Cash,5.7,0.48,42.47
90,XF064,Bedford,Health and beauty,76.99,6.0,27-02-2019,17:55:00,Cash,6.1,0.33,461.93999999999994
91,XF095,Big Spring,Home and lifestyle,47.38,4.0,23-01-2019,10:25:00,Cash,7.1,0.33,189.52
92,XF049,North Richland Hills,Sports and travel,44.86,10.0,26-01-2019,19:54:00,Ewallet,8.2,0.48,448.6
93,XF040,Edinburg,Sports and travel,21.98,7.0,10-01-2019,16:42:00,Ewallet,5.1,0.48,153.86
94,XF065,Texas City,Health and beauty,64.36,9.0,12-03-2019,12:09:00,Credit card,8.6,0.33,579.24
95,XF075,San Marcos,Health and beauty,89.75,1.0,06-02-2019,20:05:00,Credit card,6.6,0.33,89.75
96,XF034,College Station,Electronic accessories,97.16,1.0,08-03-2019,20:38:00,Ewallet,7.2,0.48,97.16
97,XF014,Amarillo,Health and beauty,87.87,10.0,29-03-2019,10:25:00,Ewallet,5.1,0.48,878.7
98,XF096,Eagle Pass,Electronic accessories,12.45,6.0,09-02-2019,13:11:00,Cash,4.1,0.18,74.69999999999999
99,XF004,Austin,Food and beverages,52.75,3.0,23-03-2019,10:16:00,Ewallet,9.3,0.48,158.25
100,XF011,Lubbock,Home and lifestyle,82.7,6.0,05-03-2019,18:14:00,Cash,7.4,0.48,496.20000000000005
101,XF075,San Marcos,Fashion accessories,48.71,1.0,26-03-2019,19:20:00,Cash,4.1,0.33,48.71
102,XF057,Euless,Fashion accessories,78.55,9.0,01-03-2019,13:22:00,Cash,7.2,0.33,706.9499999999999
103,XF023,Midland,Electronic accessories,23.07,9.0,01-02-2019,11:27:00,Cash,4.9,0.48,207.63
104,XF012,Garland,Food and beverages,58.26,6.0,28-03-2019,16:44:00,Cash,9.9,0.48,349.56
105,XF078,Del Rio,Health and beauty,30.35,7.0,19-03-2019,18:19:00,Cash,8.0,0.33,212.45000000000002
106,XF055,Waxahachie,Electronic accessories,88.67,10.0,12-01-2019,14:50:00,Ewallet,7.3,0.33,886.7
107,XF038,Sugar Land,Fashion accessories,27.38,6.0,05-01-2019,20:54:00,Credit card,7.9,0.48,164.28
108,XF049,North Richland Hills,Sports and travel,62.13,6.0,22-03-2019,20:19:00,Cash,7.4,0.48,372.78000000000003
109,XF044,Pharr,Food and beverages,33.98,9.0,24-03-2019,10:43:00,Cash,4.2,0.48,305.82
110,XF056,Rowlett,Electronic accessories,81.97,10.0,03-03-2019,14:30:00,Cash,9.2,0.33,819.7
111,XF007,Arlington,Sports and travel,16.49,2.0,05-02-2019,11:32:00,Ewallet,4.6,0.48,32.98
112,XF025,Waco,Health and beauty,98.21,3.0,05-02-2019,10:41:00,Credit card,7.8,0.48,294.63
113,XF005,Fort Worth,Fashion accessories,72.84,7.0,15-02-2019,12:44:00,Cash,8.4,0.48,509.88
114,XF024,Carrollton,Home and lifestyle,58.07,9.0,19-01-2019,20:07:00,Ewallet,4.3,0.48,522.63
115,XF003,San Antonio,Home and lifestyle,80.79,9.0,01-02-2019,20:31:00,Credit card,9.5,0.36,727.11
116,XF087,Waxahachie,Fashion accessories,27.02,3.0,02-03-2019,13:01:00,Credit card,7.1,0.33,81.06
117,XF040,Edinburg,Fashion accessories,21.94,5.0,05-03-2019,12:29:00,Ewallet,5.3,0.48,109.7
118,XF071,Lufkin,Fashion accessories,51.36,1.0,16-01-2019,15:26:00,Ewallet,5.2,0.33,51.36
119,XF027,Abilene,Food and beverages,10.96,10.0,02-02-2019,20:48:00,Ewallet,6.0,0.48,109.60000000000001
120,XF071,Lufkin,Home and lifestyle,53.44,2.0,20-01-2019,20:38:00,Ewallet,4.1,0.33,106.88
121,XF014,Amarillo,Electronic accessories,99.56,8.0,14-02-2019,17:03:00,Credit card,5.2,0.48,796.48
122,XF069,Rockwall,Sports and travel,57.12,7.0,12-01-2019,12:02:00,Credit card,6.5,0.33,399.84
123,XF085,Kerrville,Sports and travel,99.96,9.0,09-03-2019,17:26:00,Credit card,4.2,0.33,899.64
124,XF061,Cedar Park,Home and lifestyle,63.91,8.0,13-03-2019,19:52:00,Credit card,4.6,0.33,511.28
125,XF088,Cleburne,Fashion accessories,56.47,8.0,09-03-2019,14:57:00,Ewallet,7.3,0.33,451.76
126,XF034,College Station,Home and lifestyle,93.69,7.0,10-03-2019,18:44:00,Credit card,4.5,0.48,655.8299999999999
127,XF016,Brownsville,Sports and travel,32.25,5.0,27-01-2019,13:26:00,Cash,9.0,0.48,161.25
128,XF044,Pharr,Fashion accessories,31.73,9.0,08-01-2019,16:17:00,Credit card,5.9,0.48,285.57
129,XF035,San Angelo,Food and beverages,68.54,8.0,08-01-2019,15:57:00,Ewallet,8.5,0.48,548.32
130,XF018,Frisco,Sports and travel,90.28,9.0,08-02-2019,11:15:00,Ewallet,7.2,0.48,812.52
131,XF022,Mesquite,Fashion accessories,39.62,7.0,25-01-2019,13:18:00,Cash,7.5,0.48,277.34
132,XF068,Burleson,Sports and travel,92.13,6.0,06-03-2019,20:34:00,Cash,8.3,0.33,552.78
133,XF055,Waxahachie,Sports and travel,34.84,4.0,10-02-2019,18:36:00,Cash,7.4,0.33,139.36
134,XF002,Dallas,Electronic accessories,87.45,6.0,17-02-2019,14:40:00,Credit card,8.8,0.36,524.7
135,XF062,Galveston,Health and beauty,81.3,6.0,08-03-2019,16:43:00,Ewallet,5.3,0.33,487.79999999999995
136,XF098,Mineral Wells,Fashion accessories,90.22,3.0,18-02-2019,19:39:00,Cash,6.2,0.18,270.65999999999997
137,XF027,Abilene,Electronic accessories,26.31,5.0,18-01-2019,20:59:00,Credit card,8.8,0.48,131.54999999999998
138,XF093,Angleton,Home and lifestyle,34.42,6.0,18-02-2019,15:39:00,Cash,9.8,0.33,206.52
139,XF029,Round Rock,Sports and travel,51.91,10.0,16-02-2019,12:21:00,Cash,8.2,0.48,519.0999999999999
140,XF016,Brownsville,Sports and travel,72.5,8.0,16-03-2019,19:25:00,Ewallet,9.2,0.48,580.0
141,XF023,Midland,Sports and travel,89.8,10.0,23-01-2019,13:00:00,Credit card,5.4,0.48,898.0
142,XF012,Garland,Health and beauty,90.5,10.0,25-01-2019,13:48:00,Cash,8.1,0.48,905.0
143,XF052,Mansfield,Health and beauty,68.6,10.0,05-02-2019,19:57:00,Cash,9.1,0.57,686.0
144,XF097,Alice,Food and beverages,30.41,1.0,22-02-2019,10:36:00,Credit card,8.4,0.18,30.41
145,XF045,Missouri City,Home and lifestyle,77.95,6.0,21-01-2019,16:37:00,Credit card,8.0,0.48,467.70000000000005
146,XF047,Flower Mound,Health and beauty,46.26,6.0,08-03-2019,17:11:00,Credit card,9.5,0.48,277.56
147,XF026,Denton,Fashion accessories,30.14,10.0,10-02-2019,12:28:00,Ewallet,9.2,0.48,301.4
148,XF054,Sherman,Health and beauty,66.14,4.0,19-03-2019,12:46:00,Credit card,5.6,0.21,264.56
149,XF049,North Richland Hills,Home and lifestyle,71.86,8.0,06-03-2019,15:07:00,Credit card,6.2,0.48,574.88
150,XF065,Texas City,Health and beauty,32.46,8.0,27-03-2019,13:48:00,Credit card,4.9,0.33,259.68
151,XF016,Brownsville,Fashion accessories,91.54,4.0,23-03-2019,19:20:00,Credit card,4.8,0.48,366.16
152,XF070,Hurst,Sports and travel,34.56,7.0,11-03-2019,16:07:00,Credit card,7.3,0.33,241.92000000000002
153,XF099,Weatherford,Fashion accessories,83.24,9.0,29-01-2019,11:56:00,Credit card,7.4,0.18,749.16
154,XF071,Lufkin,Food and beverages,16.48,6.0,07-02-2019,18:23:00,Ewallet,9.9,0.33,98.88
155,XF078,Del Rio,Sports and travel,80.97,8.0,28-01-2019,13:05:00,Cash,9.3,0.33,647.76
156,XF074,Weslaco,Food and beverages,92.29,5.0,20-02-2019,15:55:00,Cash,9.0,0.33,461.45000000000005
157,XF042,Bryan,Electronic accessories,72.17,1.0,04-01-2019,19:40:00,Cash,6.1,0.48,72.17
158,XF013,Irving,Home and lifestyle,50.28,5.0,07-03-2019,13:58:00,Ewallet,9.7,0.48,251.4
159,XF100,Canyon,Health and beauty,97.22,9.0,30-03-2019,14:43:00,Ewallet,6.0,0.18,874.98
160,XF094,Alamo,Sports and travel,93.39,6.0,27-03-2019,19:18:00,Ewallet,10.0,0.33,560.34
161,XF028,Odessa,Food and beverages,43.18,8.0,19-01-2019,19:39:00,Credit card,8.3,0.48,345.44
162,XF019,Pasadena,Sports and travel,63.69,1.0,25-02-2019,16:21:00,Cash,6.0,0.48,63.69
163,XF011,Lubbock,Food and beverages,45.79,7.0,13-03-2019,19:44:00,Credit card,7.0,0.48,320.53
164,XF084,Schertz,Sports and travel,76.4,2.0,30-01-2019,19:42:00,Ewallet,6.5,0.33,152.8
165,XF057,Euless,Food and beverages,39.9,10.0,20-02-2019,15:24:00,Credit card,5.9,0.33,399.0
166,XF088,Cleburne,Health and beauty,42.57,8.0,25-02-2019,14:12:00,Ewallet,5.6,0.33,340.56
167,XF061,Cedar Park,Home and lifestyle,95.58,10.0,16-01-2019,13:32:00,Cash,4.8,0.33,955.8
168,XF040,Edinburg,Fashion accessories,98.98,10.0,08-02-2019,16:20:00,Credit card,8.7,0.48,989.8000000000001
169,XF069,Rockwall,Food and beverages,51.28,6.0,19-01-2019,16:31:00,Cash,6.5,0.33,307.68
170,XF089,Southlake,Sports and travel,69.52,7.0,01-02-2019,15:10:00,Credit card,8.5,0.33,486.64
171,XF031,Lewisville,Health and beauty,70.01,5.0,03-01-2019,11:36:00,Ewallet,5.5,0.48,350.05
172,XF039,Longview,Food and beverages,80.05,5.0,26-01-2019,12:45:00,Credit card,9.4,0.48,400.25
173,XF039,Longview,Electronic accessories,20.85,8.0,03-03-2019,19:17:00,Cash,6.3,0.48,166.8
174,XF047,Flower Mound,Electronic accessories,52.89,6.0,19-01-2019,17:34:00,Credit card,9.8,0.48,317.34000000000003
175,XF071,Lufkin,Food and beverages,19.79,8.0,18-01-2019,12:04:00,Ewallet,8.7,0.33,158.32
176,XF060,DeSoto,Home and lifestyle,33.84,9.0,21-03-2019,16:21:00,Ewallet,8.8,0.33,304.56000000000006
177,XF073,Seguin,Food and beverages,22.17,8.0,03-03-2019,17:01:00,Credit card,9.6,0.33,177.36
178,XF059,Pflugerville,Fashion accessories,22.51,7.0,13-02-2019,10:50:00,Credit card,4.8,0.33,157.57000000000002
179,XF012,Garland,Food and beverages,73.88,6.0,23-03-2019,19:16:00,Ewallet,4.4,0.48,443.28
180,XF086,Rosenberg,Health and beauty,86.8,3.0,28-01-2019,16:47:00,Ewallet,9.9,0.33,260.4
181,XF073,Seguin,Fashion accessories,64.26,7.0,09-02-2019,10:00:00,Cash,5.7,0.33,449.82000000000005
182,XF028,Odessa,Food and beverages,38.47,8.0,23-01-2019,11:51:00,Cash,7.7,0.48,307.76
183,XF053,Conroe,Sports and travel,15.5,10.0,23-03-2019,10:55:00,Ewallet,8.0,0.57,155.0
184,XF024,Carrollton,Health and beauty,34.31,8.0,25-01-2019,15:00:00,Ewallet,5.7,0.48,274.48
185,XF097,Alice,Sports and travel,12.34,7.0,04-03-2019,11:19:00,Credit card,6.7,0.18,86.38
186,XF072,Lancaster,Food and beverages,18.08,3.0,05-03-2019,19:46:00,Ewallet,8.0,0.33,54.239999999999995
187,XF023,Midland,Home and lifestyle,94.49,8.0,03-03-2019,19:00:00,Ewallet,7.5,0.48,755.92
188,XF038,Sugar Land,Home and lifestyle,46.47,4.0,08-02-2019,10:53:00,Cash,7.0,0.48,185.88
189,XF078,Del Rio,Home and lifestyle,74.07,1.0,10-02-2019,12:50:00,Ewallet,9.9,0.33,74.07
190,XF084,Schertz,Home and lifestyle,69.81,4.0,28-01-2019,20:50:00,Credit card,5.9,0.33,279.24
191,XF059,Pflugerville,Home and lifestyle,77.04,3.0,11-02-2019,10:39:00,Credit card,7.2,0.33,231.12
192,XF062,Galveston,Fashion accessories,73.52,2.0,15-01-2019,13:41:00,Ewallet,4.6,0.33,147.04
193,XF090,Brownwood,Food and beverages,87.8,9.0,16-03-2019,19:08:00,Cash,9.2,0.33,790.1999999999999
194,XF015,Grand Prairie,Home and lifestyle,25.55,4.0,26-01-2019,20:23:00,Ewallet,5.7,0.48,102.2
195,XF003,San Antonio,Electronic accessories,32.71,5.0,19-03-2019,11:30:00,Credit card,9.9,0.48,163.55
196,XF066,Grapevine,Fashion accessories,74.29,1.0,13-01-2019,19:30:00,Cash,5.0,0.33,74.29
197,XF079,La Porte,Health and beauty,43.7,2.0,26-03-2019,18:03:00,Cash,4.9,0.33,87.4
198,XF002,Dallas,Home and lifestyle,25.29,1.0,23-03-2019,10:13:00,Ewallet,6.1,0.36,25.29
199,XF094,Alamo,Health and beauty,41.5,4.0,12-03-2019,19:58:00,Credit card,8.2,0.33,166.0
200,XF047,Flower Mound,Food and beverages,71.39,5.0,17-02-2019,19:57:00,Credit card,5.5,0.48,356.95
201,XF100,Canyon,Sports and travel,19.15,6.0,29-01-2019,10:01:00,Credit card,6.8,0.18,114.89999999999999
202,XF005,Fort Worth,Electronic accessories,57.49,4.0,15-03-2019,11:57:00,Cash,6.6,0.48,229.96
203,XF086,Rosenberg,Electronic accessories,61.41,7.0,14-01-2019,10:02:00,Cash,9.8,0.33,429.87
204,XF029,Round Rock,Health and beauty,25.9,10.0,06-02-2019,14:51:00,Ewallet,8.7,0.48,259.0
205,XF065,Texas City,Home and lifestyle,17.77,5.0,15-02-2019,12:42:00,Credit card,5.4,0.33,88.85
206,XF085,Kerrville,Health and beauty,23.03,9.0,03-01-2019,12:02:00,Ewallet,7.9,0.33,207.27
207,XF034,College Station,Electronic accessories,66.65,9.0,04-01-2019,18:19:00,Credit card,9.7,0.48,599.85
208,XF055,Waxahachie,Home and lifestyle,28.53,10.0,18-03-2019,17:38:00,Ewallet,7.8,0.33,285.3
209,XF043,Baytown,Fashion accessories,30.37,3.0,28-03-2019,13:41:00,Ewallet,5.1,0.48,91.11
210,XF003,San Antonio,Electronic accessories,99.73,9.0,02-03-2019,19:42:00,Credit card,6.5,0.48,897.57
211,XF050,Victoria,Electronic accessories,26.23,9.0,25-01-2019,20:24:00,Ewallet,5.9,0.48,236.07
212,XF057,Euless,Food and beverages,93.26,9.0,16-01-2019,18:08:00,Cash,8.8,0.33,839.34
213,XF088,Cleburne,Home and lifestyle,92.36,5.0,20-03-2019,19:17:00,Ewallet,4.9,0.33,461.8
214,XF093,Angleton,Sports and travel,46.42,3.0,04-01-2019,13:24:00,Credit card,4.4,0.33,139.26
215,XF065,Texas City,Sports and travel,29.61,7.0,11-03-2019,15:53:00,Cash,6.5,0.33,207.26999999999998
216,XF072,Lancaster,Home and lifestyle,18.28,1.0,22-03-2019,15:05:00,Credit card,8.3,0.33,18.28
217,XF038,Sugar Land,Sports and travel,24.77,5.0,24-03-2019,18:27:00,Cash,8.5,0.48,123.85
218,XF081,Friendswood,Electronic accessories,94.64,3.0,21-02-2019,16:55:00,Cash,5.5,0.33,283.92
219,XF043,Baytown,Fashion accessories,94.87,8.0,12-02-2019,12:58:00,Ewallet,8.7,0.48,758.96
220,XF044,Pharr,Food and beverages,57.34,3.0,10-03-2019,18:59:00,Credit card,7.9,0.48,172.02
221,XF002,Dallas,Electronic accessories,45.35,6.0,31-01-2019,13:44:00,Ewallet,6.1,0.36,272.1
222,XF056,Rowlett,Food and beverages,62.08,7.0,06-03-2019,13:46:00,Ewallet,5.4,0.33,434.56
223,XF020,Killeen,Electronic accessories,11.81,5.0,17-02-2019,18:06:00,Cash,9.4,0.48,59.050000000000004
224,XF026,Denton,Fashion accessories,12.54,1.0,21-02-2019,12:38:00,Cash,8.2,0.48,12.54
225,XF003,San Antonio,Food and beverages,43.25,2.0,20-03-2019,15:56:00,Cash,6.2,0.48,86.5
226,XF067,Haltom City,Sports and travel,87.16,2.0,11-01-2019,14:29:00,Credit card,9.7,0.33,174.32
227,XF059,Pflugerville,Health and beauty,69.37,9.0,26-01-2019,19:14:00,Ewallet,4.0,0.33,624.33
228,XF068,Burleson,Electronic accessories,37.06,4.0,31-01-2019,16:24:00,Ewallet,9.7,0.33,148.24
229,XF049,North Richland Hills,Electronic accessories,90.7,6.0,26-02-2019,10:52:00,Cash,5.3,0.48,544.2
230,XF087,Waxahachie,Home and lifestyle,63.42,8.0,11-03-2019,12:55:00,Ewallet,7.4,0.33,507.36
231,XF007,Arlington,Fashion accessories,81.37,2.0,26-01-2019,19:28:00,Cash,6.5,0.48,162.74
232,XF024,Carrollton,Electronic accessories,10.59,3.0,12-03-2019,13:52:00,Credit card,8.7,0.48,31.77
233,XF059,Pflugerville,Health and beauty,84.09,9.0,11-02-2019,10:54:00,Cash,8.0,0.33,756.8100000000001
234,XF045,Missouri City,Fashion accessories,73.82,4.0,21-02-2019,18:31:00,Credit card,6.7,0.48,295.28
235,XF069,Rockwall,Health and beauty,51.94,10.0,09-03-2019,18:24:00,Ewallet,6.5,0.33,519.4
236,XF084,Schertz,Sports and travel,93.14,2.0,20-01-2019,18:09:00,Ewallet,4.1,0.33,186.28
237,XF068,Burleson,Health and beauty,17.41,5.0,28-01-2019,15:16:00,Credit card,4.9,0.33,87.05
238,XF023,Midland,Fashion accessories,44.22,5.0,05-03-2019,17:07:00,Credit card,8.6,0.48,221.1
239,XF040,Edinburg,Electronic accessories,13.22,5.0,02-03-2019,19:26:00,Cash,4.3,0.48,66.10000000000001
